Note: Cleaned assembly and aligned. Ran labview to validate telemetry. Heater and reference voltage set.

Sensor:Au16
US / mV, Uref / mV, IS / nA, UH / mV, IH / mA, RH / Ohm

SensorNr.; US; Uref; IS; UH; IH; RH; Time (LabView); Comment; Measurement range; range_is_change?; temp_reg_on?; heatup?; uref_reg_on?
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299590E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.000000;31.102197;1.299593E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299596E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299599E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299603E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299606E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299609E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299612E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299615E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299618E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.000000;31.102197;1.299621E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299624E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299627E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299630E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299633E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299636E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.000000;31.102197;1.299639E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.005127;0.000000;31.102197;1.299642E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299645E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299648E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.000000;31.102197;1.299651E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299655E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299658E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.000000;31.102197;1.299661E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.000000;31.102197;1.299664E+7;;4.000000;1.000000;0.000000;1.000000;1.000000;
