04/15/2022 Test Engineers: Grant Kirchhoff , Anton Buynovskiy
Comment: First test w/o sensing element installed. No heater. Test performed in STIg Lab.

Sensor:Au16
US / mV, Uref / mV, IS / nA, UH / mV, IH / mA, RH / Ohm

SensorNr.; US; Uref; IS; UH; IH; RH; Time (LabView); Comment; Measurement range; range_is_change?; temp_reg_on?; heatup?; uref_reg_on?
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422350E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.005127;0.274662;18.666632;1.422353E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422357E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422360E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.305180;15.599971;1.422363E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.259403;18.352908;1.422366E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004028;0.289921;13.894711;1.422369E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.289921;16.421023;1.422372E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.005127;0.274662;18.666632;1.422375E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422378E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004761;0.274662;17.333302;1.422382E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.289921;15.157867;1.422385E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.274662;15.999971;1.422388E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
11.000000;0.000000;0.000000;0.000000;0.004395;0.305180;14.399974;1.422391E+7;;4.000000;1.000000;1.000000;1.000000;1.000000;
